latitude,longitude,altitude,geometry,comparison,type
47.4737725,-0.5591237,,Point,18.2756668825,FOOD_FASTFOOD
50.6924558,4.2047819,,Point,18.2756668825,MONEY_BANK
45.0420994,3.8871873,,Point,18.2756668825,SHOP_DEPARTMENTSTORE
50.6926075,4.2045385,,Point,18.2756668825,FOOD_RESTAURANT
50.6922873,4.2046056,,Point,18.2756668825,SHOP_HAIRDRESSER
50.6924027,4.204712,,Point,18.2756668825,FOOD_BAR
51.5055261,7.4509742,,Point,18.2756668825,FOOD_FASTFOOD
50.6921517,4.2046184,,Point,18.2756668825,MONEY_BANK
51.5056303,7.4514006,,Point,18.2756668825,FOOD_PUB
48.5423342,9.2857279,,Point,18.3030052177,FOOD_BAR
48.9154584,2.275558,,Point,18.3030052177,SHOP_SUPERMARKET
47.7112383,13.6254545,,Point,18.3030052177,ACCOMMO_HOTEL
48.4581475,10.2773248,,Point,18.3030052177,FOOD_RESTAURANT
47.4738099,-0.5591834,,Point,18.3030052177,SHOP_HIFI
47.3964254,8.4478343,,Point,18.3303027798,SHOP_DEPARTMENTSTORE
47.3965386,8.4478296,,Point,18.3303027798,SHOP_HEARINGAIDS
47.7127155,13.6227239,,Point,18.3575597507,SHOP_MOTORCYCLE
46.9515016,4.2999327,,Point,18.3575597507,FOOD_FASTFOOD
47.7127943,13.6229044,,Point,18.3575597507,SHOP_DEPARTMENTSTORE
47.7126028,13.6229866,,Point,18.3575597507,SHOP_SHOES
48.0167322,9.504352,,Point,18.3575597507,HEALTH_DOCTORS
46.9514468,4.3000144,,Point,18.3575597507,SHOP_CONFECTIONERY
55.6958721,12.585465,,Point,18.3575597507,POI_EMBASSY
47.7786334,10.6190126,,Point,18.3575597507,SHOP_JEWELRY
51.506448,7.4512409,,Point,18.3847763109,FOOD_CAFE
47.7787479,10.6205584,,Point,18.3847763109,TOURIST_MUSEUM
48.0646038,12.233175,,Point,18.3847763109,EDUCATION_SCHOOL
39.8937669,32.8766593,,Point,18.3847763109,SHOP_FLORIST
47.7787688,10.6204576,,Point,18.3847763109,TOURIST_MUSEUM
50.6928756,4.2043671,,Point,18.3847763109,FOOD_RESTAURANT
47.3485114,8.3430308,,Point,18.3847763109,EDUCATION_SCHOOL
45.9232581,6.8663597,,Point,18.3847763109,AMENITY_POLICE
52.0567779,4.4910469,,Point,18.4119526395,SHOP_HAIRDRESSER
47.3973972,8.4488323,,Point,18.4119526395,FOOD_RESTAURANT
47.3974176,8.4489986,,Point,18.4119526395,TOURIST_NIGHTCLUB
39.7177098,2.9115914,,Point,18.4119526395,SHOP_BAKERY
39.7178437,2.9113202,,Point,18.4119526395,SHOP_COMPUTER
39.7181676,2.9112318,,Point,18.4119526395,SHOP_LAUNDRETTE
51.8366683,10.7928839,,Point,18.4119526395,FOOD_RESTAURANT
